Verb,Full Sentence,SUBJ,OBJ,Q1: Has Object been hurt or weakened in some way?,Q2: Has Object been helped or supported in some way?,Q3: How do you think that the Object feels about the outcome?,Q4: Do you think that anyone values Object?,Q5: How Object Feels About Subject?,Q6: How do you/reader feel about the outcome?,Q7: How a Reader Feels About Object?,Q8: How a Reader Feels About Subject?,Q9: Has Subject been hurt or weakened in some way?,Q10: Has Subject been helped or supported in some way?,Q11: How do you think that the Subject feels about the outcome?,Q12: Do you think that anyone values Subject?,Q13: How Subject Feels About Object?,Q14: How do you think that the Writer feels about the outcome?,Q15: How the Writer Feels About Object?,Q16: How the Writer Feels About Subject?
go,<span style='color:#0000CD'>away</span> <u>went</u> the <span style='color:#006400'>woman</span>.,away,woman,-1,-1,-0.5,-1,-0.5,-0.5,0,-0.5,-1,-1,0,-1,0,-0.5,0,-0.5
go,<span style='color:#0000CD'>away</span> <u>went</u> the <span style='color:#006400'>woman</span>.,away,woman,1,-1,-1,1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0
go,her <span style='color:#0000CD'>mother</span> <u>went</u> that <span style='color:#006400'>season</span>.,mother,season,-1,-1,0,1,0,0,0,0,-1,-1,0,1,1,0,0,0.5
go,her <span style='color:#0000CD'>mother</span> <u>went</u> that <span style='color:#006400'>season</span>.,mother,season,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0
go,her <span style='color:#0000CD'>mother</span> <u>went</u> that <span style='color:#006400'>season</span>.,mother,season,-1,-1,0,1,0,0,0,0,-1,-1,0,1,0,0,0,0
go,a <span style='color:#0000CD'>cry</span> <u>went</u> every <span style='color:#006400'>man</span>.,cry,man,-1,-1,-1,1,-1,0,0,0,-1,-1,0,1,0,0,0,0
follow,the <span style='color:#0000CD'>teacher</span> will <u>follow</u> the <span style='color:#006400'>principle</span>.,teacher,principle,-1,1,0,1,0,0.5,0.5,0.5,-1,1,0.5,1,0.5,0.5,0.5,0.5
follow,the <span style='color:#0000CD'>landlady</span> <u>followed</u> <span style='color:#006400'>her</span>.,landlady,her,-1,-1,-0.5,1,-0.5,-0.5,0,0,-1,-1,0,1,-0.5,0,0,0
follow,the <span style='color:#0000CD'>landlady</span> <u>followed</u> <span style='color:#006400'>her</span>.,landlady,her,1,-1,-1,-1,-0.5,-0.5,0,-1,-1,-1,0,-1,-0.5,0,0,0
follow,the <span style='color:#0000CD'>child</span> <u>follow</u> the <span style='color:#006400'>mother</span>.,child,mother,-1,1,1,1,1,0,0,0,-1,-1,1,1,1,0,0,0
follow,the <span style='color:#0000CD'>child</span> <u>follow</u> the <span style='color:#006400'>mother</span>.,child,mother,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0
follow,the <span style='color:#0000CD'>pupil</span> will <u>follow</u> <span style='color:#006400'>them</span>.,pupil,them,-1,1,0.5,1,0.5,0,0.5,0.5,-1,1,0.5,1,0.5,0,0.5,0.5
follow,the <span style='color:#0000CD'>pupil</span> will <u>follow</u> <span style='color:#006400'>them</span>.,pupil,them,-1,1,0,1,0,0,0,0,-1,1,0,1,0,0,0,0
follow,the <span style='color:#0000CD'>bride</span> <u>followed</u> her <span style='color:#006400'>husband</span>.,bride,husband,-1,1,0.5,1,1,0.5,0,0,-1,1,0.5,1,1,0,0,0
follow,the <span style='color:#0000CD'>bride</span> <u>followed</u> her <span style='color:#006400'>husband</span>.,bride,husband,-1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
follow,<span style='color:#0000CD'>tribe</span> <u>follows</u> <span style='color:#006400'>nation</span>.,tribe,nation,-1,1,0.5,1,0.5,0.5,0.5,0.5,-1,1,1,1,1,0.5,0.5,0.5
follow,<span style='color:#0000CD'>tribe</span> <u>follows</u> <span style='color:#006400'>nation</span>.,tribe,nation,-1,1,0,1,0,0.5,0.5,0.5,-1,-1,1,1,1,0.5,0.5,0.5
follow,<span style='color:#0000CD'>tribe</span> <u>follows</u> <span style='color:#006400'>nation</span>.,tribe,nation,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0
follow,the <span style='color:#0000CD'>guide</span> <u>followed</u> <span style='color:#006400'>her</span>.,guide,her,-1,1,0,1,0,0,0,0,-1,1,0,1,0,0,0,0
follow,the <span style='color:#0000CD'>guide</span> <u>followed</u> <span style='color:#006400'>her</span>.,guide,her,-1,1,0.5,1,0.5,0.5,0.5,0.5,-1,1,0.5,1,0.5,0.5,0.5,0.5
follow,the <span style='color:#0000CD'>guide</span> <u>followed</u> <span style='color:#006400'>her</span>.,guide,her,-1,1,1,1,1,0.5,0.5,0.5,-1,-1,0.5,-1,1,0,0,0
hate,<span style='color:#0000CD'>one</span> will <u>hate</u> an <span style='color:#006400'>enemy</span>.,one,enemy,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1
hate,a <span style='color:#0000CD'>man</span> will <u>hate</u> <span style='color:#006400'>sin</span>.,man,sin,1,-1,0,-1,0,-0.5,-1,1,-1,-1,-1,1,-1,1,-1,1
hate,a <span style='color:#0000CD'>man</span> <u>hate</u> <span style='color:#006400'>him</span>.,man,him,1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,-1
hate,her <span style='color:#0000CD'>husband</span> <u>hate</u> <span style='color:#006400'>her</span>.,husband,her,1,-1,-1,1,-1,-1,-0.5,-0.5,1,-1,-1,1,-1,-1,-0.5,-0.5
